pgn_schgames_01 | [pname_max[0]]... | [pname_max[0]]...
pgn_schgames_01 | Да, что такое? | Yes, what is it?
pgn_schgames_01 | Как тебе сказать… Я хочу чего-то новенького, новых ощущений, что-то экстремальное и захватывающее… Не знаю даже как правильно описать. | How can I tell you... I want something new, new, something extreme and exciting... I don't even know how to describe it correctly.
pgn_schgames_01 | Намекаешь, что уже пора лишиться девственности? Тебе понравится, как раз новые ощущения. | Are you saying it's time to lose your virginity? You're gonna love it, just the way it feels.
pgn_schgames_01 | Нет, я не про это… И нет, [pname_max[0]], пока нет, моя киска тебе не достанется. | No, I'm not talking about that... And no, [pname_max[0]], not yet, you won't get my pussy.
pgn_schgames_01 | Тогда что? Я не понимаю тебя. | Then what? I don't understand you.
pgn_schgames_01 | Допустим заняться сексом в публичном месте, где нас могут заметить... Ну… ты подумай. | Let's say having sex in a public place where we can be seen... Well... think about it.
pgn_schgames_01 | Хорошо, я понял. Постараюсь. | Okay, I get it. I'll try.
pgn_schgames_02 | {i}Школа... Моя школа не была такой большой, но нам хватало, бегали по этажам и коридорам, девчонкам юбки задирали...\nХватит воспоминаний, напишу [pname_liza[2]].{/i} | {i}School... My school wasn't so big, but we had enough, running around the floors and corridors, girls were ripped up with skirts...Хватит memories, I'll write [pname_liza[2]].{/i}
pgn_schgames_02 | {i}Блин. Её телефон недоступен. Попробую найти её класс.{/i} | {i}Shit. Her phone's not available. I'll try to find her class.{/i}
pgn_schgames_02 | Молодой человек, куда мы направляемся? | Young man, where are we going?
pgn_schgames_02 | О... Здравствуйте. Здесь учится моя сестра и мне нужно ей кое-что сообщить. | Oh... Hello. My sister's here to study and I have something to tell her.
pgn_schgames_02 | Почему бы вам не отправить ей СМС или позвонить? | Why don't you text her or call her?
pgn_schgames_02 | Дело в том, что её телефон недоступен, видимо разряжен, поэтому не могу до неё дозвониться. | The fact that her phone is unavailable, apparently discharged, so I can't reach her.
pgn_schgames_02 | Простите, но я не могу позволить вам разгуливать по школе без разрешения учителя или директора. | I'm sorry, but I can't let you walk around the school without the permission of the teacher or principal.
pgn_schgames_02 | Тогда извините, я пойду.\n {i}Блин, нужно придумать способ, как получить это разрешение.{/i} | Then I'm sorry, I'll be going. \n{i}Shit, we need to figure out a way to get this permission.{/i}
pgn_schgames_03 | ... | ...
pgn_schgames_03 | {i}Всё так же, ничего... совсем...{/i} | {i}Same thing, nothing... completely... {/i}
pgn_schgames_03 | ... | ...
pgn_schgames_03 | {i}Всё так же, ничего... совсем...{/i} | {i}Same thing, nothing... completely... {/i}
pgn_schgames_03 | {i}Так, стоп! Мама направляется к столу. Думал ей по почте пришлют, хотя ноут только у меня и у...{/i} | {i} Okay, stop! Mom's on her way to the table. Thought they'd mail it to her, even though it's just me and...{/i}
pgn_schgames_03 | {i}Отлично, теперь знаю, где лежит мамин телефон и... теперь есть время. Но лучше мне для подстраховки ещё раз проверить, всегда ли в 17:00 приходит сообщение.{/i} | {i} Great, now I know where Mom's phone is and... now there's time. But I'd better check again to make sure I always get a message at 17:00.{/i}
pgn_schgames_03 | ... | ...
pgn_schgames_03 | {i}Всё так же, ничего... совсем...{/i} | {i}Same thing, nothing... completely... {/i}
pgn_schgames_03 | {i}СМС снова пришло в 17:00.{/i} | {i}SMS came back at 17:00.{/i}
pgn_schgames_03 | {i}Тогда сегодня последний раз пишем домашку с ошибками, а завтра в это же время Маму нужно будет чем-то отвлечь.{/i} | {i}Then today is the last time we're writing our homework with mistakes, and tomorrow at the same time Mom will need something to distract her.{/i}
pgn_schgames_03 | {i}Тогда сегодня последний раз пишем домашку с ошибками, а в понедельник в это же время Маму нужно будет чем-то отвлечь.{/i} | {i}Then today is the last time we're writing our homework with mistakes, and on Monday at the same time Mom will need something to distract her.{/i}
