pgn_aptkira_dinner | [pname_kira[0]], неожиданно тебя видеть с нами за ужином, что-то случилось? Плохое или хорошее? | [pname_kira[0]], suddenly you see us at dinner, something happened? Bad or good?
pgn_aptkira_dinner | Хорошее... За мою хорошую работу, компания приобрела мне квартиру. | It's good... For my good work, the company bought me an apartment.
pgn_aptkira_dinner | У тебя появилась собственная квартира? | Do you have your own apartment?
pgn_aptkira_dinner | Технически пока она не моя, а компании. И если и далее буду так хорошо работать, то она обязательно станет моей. | Technically, as long as it's not mine, it's the company's. And if I keep working so well, it's going to be mine.
pgn_aptkira_dinner | Тётя, а где ты работаешь? | Aunt, where do you work?
pgn_aptkira_dinner | ... | ...
pgn_aptkira_dinner | В сфере развлечений. Придумываю сценарии и устраиваю мероприятия. | In the field of entertainment. I make up scripts and organize events.
pgn_aptkira_dinner | Понятно. Видимо компания успешная и работает с состоятельными людьми, раз может позволить себе купить квартиру. | I see. Apparently the company is successful and works with wealthy people, since it can afford to buy an apartment.
pgn_aptkira_dinner | А где она находится, квартира, далеко от нас? | Where is she, the apartment, far away from us?
pgn_aptkira_dinner | Нет, не так уж и далеко, рядом с пляжем. И... | No, it's not that far, near the beach. И...
pgn_aptkira_dinner | И, я там ещё не была, буквально недавно сообщили. | And, uh, I haven't been there yet, just recently.
pgn_aptkira_dinner | Очень хочется увидеть. | I really want to see it.
pgn_aptkira_dinner | Мне тоже... И да, [pname_max[0]], у меня есть для тебя подарочек. | Me, too... And yes, [pname_max[0]], I have a present for you.
pgn_aptkira_dinner | Ваау, круто!!! | Wow, cool!
pgn_aptkira_dinner | [pname_kira[0]], не надо делать ему дорогие подарки, пусть сам зарабатывает. | [pname_kira[0]], don't give him expensive gifts, let him earn it himself.
pgn_aptkira_dinner | [pname_mom[6]], всё хорошо. Скажем так, он и так на него заработал. Только, подарок прибудет завтра, утром. | [pname_mom[6]], all right. Let's just say he's earned enough money for it. Only, the gift will arrive tomorrow morning.
